State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Illinois,127.7,2.1,127.1,2.3,128.0,2.1,128.3,2.0,511.1,6.3,3.63,0.32,3.79,0.22,3.70,0.26,977
Indiana,127.8,1.8,127.3,2.2,128.0,1.9,128.2,2.0,511.3,5.6,3.74,0.28,3.84,0.23,3.78,0.24,388
Iowa,127.8,1.8,127.3,2.3,128.2,1.8,128.5,1.8,511.8,5.7,3.72,0.24,3.84,0.18,3.78,0.19,141
Kansas,127.0,2.1,126.9,2.2,127.4,2.1,127.8,2.1,509.1,6.2,3.69,0.26,3.84,0.21,3.76,0.21,245
Michigan,127.8,2.1,127.0,2.3,128.2,2.1,128.4,2.1,511.4,6.7,3.66,0.32,3.82,0.20,3.73,0.24,794
Minnesota,127.5,2.1,127.4,2.2,128.0,2.0,128.4,2.0,511.2,6.0,3.68,0.27,3.83,0.19,3.75,0.21,385
Missouri,127.7,2.2,127.4,2.2,128.0,2.1,128.3,2.0,511.3,6.1,3.74,0.24,3.85,0.19,3.79,0.20,310
Nebraska,127.5,1.9,127.2,2.0,127.9,1.7,128.0,2.0,510.6,5.3,3.72,0.24,3.89,0.14,3.78,0.17,138
North Dakota,126.9,2.0,126.2,2.8,127.2,2.3,127.8,2.2,508.0,6.7,3.73,0.36,3.88,0.20,3.79,0.29,53
Ohio,127.7,2.1,127.1,2.3,127.9,2.0,128.2,2.0,510.9,6.3,3.66,0.30,3.84,0.19,3.74,0.23,737
South Dakota,127.5,1.6,126.6,2.1,128.1,1.8,127.8,2.0,510.0,5.1,3.83,0.22,3.91,0.15,3.87,0.17,67
Wisconsin,127.9,2.0,127.1,2.2,128.0,2.0,128.3,2.0,511.4,5.8,3.70,0.27,3.84,0.16,3.76,0.20,372
Alabama,127.0,2.1,126.8,2.4,127.2,2.0,127.7,2.1,508.6,6.5,3.70,0.28,3.85,0.23,3.76,0.24,280
Arkansas,126.8,2.2,126.7,2.4,127.2,2.0,127.3,2.0,508.0,6.4,3.70,0.31,3.84,0.22,3.76,0.25,172
Florida,127.4,2.1,127.0,2.3,127.8,2.1,128.2,2.0,510.4,6.1,3.64,0.32,3.80,0.23,3.71,0.25,"1,237"
Georgia,127.2,2.3,126.8,2.2,127.5,2.1,127.9,2.0,509.3,6.4,3.63,0.31,3.79,0.23,3.70,0.25,644
Kentucky,126.9,1.9,126.7,2.2,127.3,2.0,127.7,1.9,508.7,5.7,3.65,0.28,3.86,0.17,3.74,0.21,298
Louisiana,126.4,1.9,126.4,2.3,127.1,2.1,127.3,2.1,507.2,6.1,3.62,0.35,3.78,0.27,3.69,0.29,386
Mississippi,126.1,2.3,126.2,2.3,126.5,2.1,126.8,2.1,505.5,6.4,3.61,0.37,3.81,0.25,3.70,0.28,194
North Carolina,127.7,2.3,127.4,2.2,128.1,2.1,128.4,2.0,511.6,6.8,3.62,0.32,3.77,0.23,3.69,0.26,538
Oklahoma,126.9,2.1,127.1,2.3,127.2,2.0,127.7,1.9,508.9,5.9,3.65,0.30,3.80,0.25,3.71,0.25,180
Puerto Rico,125.1,2.1,123.7,2.3,125.7,2.1,125.1,2.2,499.6,6.3,3.55,0.33,3.79,0.22,3.65,0.26,297
South Carolina,126.7,2.1,126.8,2.3,127.2,2.2,127.5,2.0,508.1,6.4,3.65,0.34,3.81,0.26,3.72,0.28,329
Tennessee,127.3,2.1,127.2,2.2,127.8,2.0,128.1,2.0,510.4,6.1,3.69,0.31,3.82,0.23,3.75,0.26,360
Texas,127.7,2.1,127.0,2.3,127.9,2.0,128.2,2.0,510.7,6.2,3.68,0.30,3.82,0.21,3.76,0.23,"1,713"
Virginia,127.8,2.0,127.4,2.3,128.1,2.0,128.6,1.9,511.9,5.8,3.60,0.33,3.75,0.24,3.66,0.27,587
West Virginia,126.5,2.3,126.2,2.1,126.8,2.2,127.0,2.2,506.6,6.6,3.71,0.30,3.85,0.20,3.77,0.22,153
Alaska,126.9,2.2,126.6,2.3,126.7,2.1,127.1,2.4,507.3,6.8,3.43,0.33,3.67,0.29,3.55,0.27,28
Arizona,127.4,2.2,126.9,2.5,127.8,2.2,128.0,2.1,510.1,7.1,3.68,0.30,3.82,0.23,3.74,0.24,291
California,128.4,1.9,127.4,2.3,128.7,1.9,128.9,1.9,513.4,5.9,3.63,0.29,3.77,0.21,3.68,0.24,"2,585"
Colorado,127.9,2.0,127.7,2.1,128.4,1.9,128.6,1.8,512.6,5.6,3.69,0.29,3.81,0.22,3.74,0.24,286
Hawaii,128.0,2.0,126.8,1.8,128.5,2.0,128.6,2.0,511.9,5.8,3.66,0.30,3.78,0.25,3.71,0.25,82
Idaho,127.6,2.3,126.8,2.2,127.4,2.5,127.9,2.4,509.8,7.0,3.72,0.28,3.83,0.24,3.76,0.24,68
Montana,126.5,2.4,127.1,2.2,127.3,2.2,127.8,2.1,508.7,6.7,3.62,0.31,3.82,0.20,3.71,0.23,56
Nevada,127.3,2.0,126.3,2.4,127.8,1.9,128.0,1.9,509.4,6.1,3.66,0.32,3.81,0.22,3.72,0.26,149
New Mexico,126.3,2.3,126.5,2.3,126.9,2.3,127.4,2.3,507.0,6.9,3.67,0.29,3.82,0.22,3.74,0.23,131
Oregon,127.6,2.0,127.3,2.5,128.1,2.0,128.3,2.0,511.3,6.2,3.67,0.27,3.79,0.21,3.72,0.22,193
Utah,128.1,1.8,127.8,2.3,128.4,2.0,128.6,1.9,512.9,5.8,3.72,0.26,3.84,0.19,3.78,0.21,207
Washington,128.0,2.2,127.6,2.5,128.2,2.1,128.5,2.0,512.3,6.5,3.62,0.29,3.80,0.19,3.69,0.21,408
Wyoming,126.9,2.3,126.1,2.3,127.5,2.2,127.5,2.2,508.1,6.4,3.68,0.25,3.84,0.22,3.74,0.21,31
