State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Ohio,126.5,2.6,126.1,2.6,126.8,2.5,127.0,2.6,"506.3",8.6,3.50,0.41,3.77,0.25,3.61,0.32,"1,630"
South Dakota,125.9,2.4,125.7,2.3,126.4,2.5,126.2,2.5,"504.1",7.7,3.55,0.43,3.77,0.28,3.65,0.34,163
Wisconsin,126.7,2.6,126.1,2.5,126.9,2.6,127.2,2.6,"506.9",8.4,3.55,0.39,3.75,0.26,3.64,0.31,813
Alabama,125.8,2.6,125.9,2.6,126.1,2.5,126.4,2.6,"504.1",8.4,3.52,0.42,3.76,0.29,3.63,0.33,619
Arkansas,125.5,2.6,125.5,2.7,125.8,2.5,126.0,2.6,"502.8",8.7,3.51,0.44,3.76,0.30,3.61,0.35,352
Florida,125.8,2.6,125.4,2.7,126.0,2.7,126.5,2.7,"503.7",9.1,3.42,0.45,3.70,0.29,3.54,0.35,"3,509"
Georgia,125.6,2.8,125.3,2.7,125.8,2.8,126.1,2.8,"503.0",9.5,3.40,0.45,3.68,0.31,3.52,0.36,"1,584"
Kentucky,125.7,2.4,125.7,2.6,126.1,2.5,126.5,2.6,"504.0",8.3,3.48,0.42,3.78,0.29,3.60,0.33,539
Louisiana,125.0,2.4,125.2,2.7,125.5,2.5,125.8,2.7,"501.6",8.6,3.46,0.44,3.70,0.31,3.55,0.36,864
Mississippi,124.5,2.6,124.9,2.6,125.0,2.5,125.2,2.6,"499.6",8.6,3.41,0.47,3.73,0.30,3.55,0.37,475
North Carolina,126.3,2.9,126.2,2.8,126.6,2.8,126.9,2.8,"506.0",9.7,3.44,0.43,3.68,0.30,3.55,0.34,"1,311"
Oklahoma,125.7,2.6,126.0,2.6,125.9,2.5,126.4,2.5,"504.0",8.4,3.52,0.40,3.75,0.29,3.62,0.32,415
Puerto Rico,123.7,2.5,122.6,2.4,124.2,2.6,123.6,2.7,"494.1",8.4,3.30,0.50,3.68,0.33,3.46,0.39,590
South Carolina,125.1,2.7,125.5,2.7,125.7,2.8,126.1,2.6,"502.4",9.1,3.49,0.42,3.73,0.28,3.60,0.33,712
Tennessee,125.6,2.7,125.7,2.6,126.0,2.7,126.3,2.7,"503.7",9.1,3.48,0.45,3.72,0.33,3.58,0.37,875
Texas,125.8,2.8,125.6,2.7,126.1,2.8,126.4,2.8,"503.9",9.5,3.45,0.44,3.70,0.30,3.55,0.36,"4,559"
Virginia,126.5,2.7,126.1,2.7,126.7,2.7,127.1,2.6,"506.4",9.0,3.42,0.42,3.66,0.28,3.52,0.34,"1,438"
West Virginia,125.6,2.6,125.5,2.4,125.9,2.6,126.1,2.6,"503.1",8.2,3.55,0.41,3.78,0.27,3.64,0.32,262
Alaska,125.7,2.5,126.0,2.4,126.0,2.3,126.5,2.4,"504.3",7.5,3.35,0.41,3.65,0.28,3.47,0.32,75
Arizona,125.7,2.7,125.6,2.6,126.0,2.7,126.4,2.7,"503.7",9.0,3.47,0.43,3.73,0.28,3.59,0.33,966
California,127.1,2.7,126.1,2.7,127.3,2.6,127.5,2.7,"508.0",9.0,3.44,0.42,3.68,0.28,3.53,0.33,"6,237"
Colorado,126.5,2.5,126.4,2.6,127.0,2.5,127.2,2.5,"507.2",8.3,3.49,0.42,3.70,0.29,3.58,0.34,800
Hawaii,126.1,2.7,125.1,2.5,126.4,2.8,126.5,2.8,"504.0",9.1,3.47,0.40,3.72,0.30,3.57,0.33,259
Idaho,126.3,2.5,125.9,2.5,126.3,2.6,126.7,2.5,"505.0",8.1,3.51,0.43,3.76,0.26,3.63,0.31,182
Montana,125.9,2.3,126.3,2.4,126.8,2.3,126.8,2.3,"505.9",7.4,3.50,0.39,3.73,0.28,3.60,0.30,136
Nevada,125.8,2.6,125.3,2.6,126.4,2.5,126.5,2.7,"503.9",8.8,3.41,0.46,3.70,0.29,3.53,0.36,368
New Mexico,124.9,2.5,125.3,2.6,125.5,2.5,125.9,2.7,"501.6",8.5,3.47,0.43,3.73,0.29,3.59,0.34,311
Oregon,126.6,2.4,126.3,2.6,127.0,2.4,127.2,2.4,"507.1",7.8,3.51,0.37,3.71,0.26,3.59,0.29,509
Utah,126.9,2.3,126.4,2.5,127.2,2.4,127.2,2.4,"507.7",7.8,3.57,0.37,3.76,0.25,3.66,0.29,594
Washington,126.8,2.7,126.4,2.8,127.0,2.7,127.2,2.6,"507.3",8.9,3.42,0.42,3.69,0.27,3.54,0.31,"1,066"
Wyoming,126.1,2.4,126.2,2.3,127.0,2.2,126.7,2.3,"505.9",7.0,3.58,0.32,3.77,0.24,3.66,0.27,67
